Ecozones,BpS,Acres
Montane Oak (rich),Central and Southern Appalachian Spruce-Fir Forest,1728
Montane Oak (rich),Northeastern Interior Dry-Mesic Oak Forest,1688
Montane Oak (rich),Central Appalachian Dry Oak-Pine Forest,1421
Montane Oak (rich),Appalachian (Hemlock-)Northern Hardwood Forest,1160
Spruce,Central and Southern Appalachian Spruce-Fir Forest,9346
Spruce,Central Interior and Appalachian Riparian Systems,1797
Spruce,Central and Southern Appalachian Montane Oak Forest,1772
Spruce,Appalachian (Hemlock-)Northern Hardwood Forest,1449
Spruce,Northeastern Interior Dry-Mesic Oak Forest,1185
Pine-Oak Heath (ridgetops),Central and Southern Appalachian Spruce-Fir Forest,2367
Pine-Oak Heath (ridgetops),Central and Southern Appalachian Montane Oak Forest,1914
Pine-Oak Heath (ridgetops),Appalachian (Hemlock-)Northern Hardwood Forest,1098
Pine-Oak Heath (ridgetops),Central Appalachian Pine-Oak Rocky Woodland,591
